,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
1338603450,,,,,,21.656666666666666,17.50166666666667,18.64,18.217567567567567,17.252857142857142,24.29263157894737,21.78,21.215,20.846363636363638,20.418666666666663,19.965,22.086969696969696,21.352894736842103,17.131,16.506666666666664,17.976,30.127567567567567,38.967,34.34,20.145581395348838,16.18,16.18,16.84058823529412,16.107222222222223,15.598333333333334,15.687380952380952,14.354615384615386,14.744845360824742,16.455853658536583,16.55464285714286,16.565,16.437037037037037,16.53857142857143,17.060000000000002,18.872999999999998,18.53212598425197,19.208736842105264,18.874736842105264,19.142289156626507,19.11937037037037,19.49642857142857,20.98151515151515,21.58433962264151,19.426309523809522,18.000344827586208,17.0325,16.172,16.63027027027027,16.482499999999998,17.490909090909092,17.3040625,16.730526315789472,17.666666666666668,17.666666666666668,17.666666666666668,17.666666666666668
B00000DMF5,,12.775,12.99,12.387142857142855,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.99,11.7475,11.067777777777778,12.99,12.733333333333334,12.607142857142858,11.99,11.99,12.705,12.771176470588236,12.49,10.99,11.776,11.976,11.431666666666668,10.415714285714284,12.27,12.405866666666668,12.400434782608697,11.692,12.1525,12.694545454545452,12.77111111111111,12.77111111111111,12.77111111111111,12.029285714285717,12.7725,12.836000000000002,12.255333333333336,11.125909090909092,11.988,11.986666666666666,12.12142857142857,12.248297872340425,11.971904761904762,12.387,12.99,12.4075,12.60608695652174,12.28,12.77
B00000IV35,8.212,19.003466666666668,22.28350993377484,12.180416666666666,10.896,13.786470588235296,10.36076923076923,7.2875,9.742142857142856,9.795,10.673461538461538,9.548235294117646,8.090625000000001,5.0825,6.025,8.96,9.031428571428572,9.013333333333334,11.22,8.372222222222222,8.057333333333332,5.175599999999999,11.832352941176472,12.714166666666667,10.194605263157897,9.489117647058825,9.65225352112676,10.475,7.306666666666667,8.453888888888889,8.873333333333333,9.570714285714288,5.436666666666667,9.99,7.4825,6.294444444444444,12.463214285714288,10.987325581395348,9.641397849462363,9.144864864864866,8.73857142857143,9.29142857142857,9.28375,8.902916666666666,7.614242424242424,8.110000000000001,6.578888888888889,8.20068493150685,7.879,7.879,7.879,5.95,7.665999999999999,8.897391304347826,10.909,12.045806451612904,10.750222222222222,8.494333333333334,8.663571428571428,8.52111111111111,8.705714285714285
B00000IZKX,4.348837209302325,4.182857142857143,4.408421052631579,4.408421052631579,3.7975,8.222307692307693,6.4383333333333335,4.89075,4.844328358208955,4.95,4.507777777777778,3.6991666666666663,3.866071428571429,3.526666666666667,3.395,3.26,2.5275000000000003,3.4683333333333337,2.1557142857142857,3.6279591836734695,2.4809939759036146,5.218702702702703,2.713703703703704,2.6166666666666667,2.256325581395349,1.946206896551724,2.211397058823529,2.65453125,3.15,1.0,1.0,2.83,3.545,3.545,3.2725,1.4025,3.59,4.250695970695971,4.214214876033058,3.29,3.5,3.25,3.33,3.361428571428572,3.4966666666666666,3.3280000000000003,3.411153846153846,3.4577777777777774,3.515,3.6310526315789473,3.6646666666666663,3.6646666666666663,3.515,3.844,3.525,3.515,3.525,3.515,3.888333333333333,3.515,3.5416666666666665
B00000JICB,,,14.323333333333332,14.323333333333332,14.323333333333332,11.85,11.85,14.49,19.857142857142858,14.47,14.47,14.47,14.47,14.47,14.47,14.47,15.553333333333336,14.15,14.01,14.01,14.99,14.99,14.99,14.99,14.99,14.49,14.74,14.74,14.99,20.15416666666667,20.15416666666667,20.15416666666667,20.15416666666667,14.632,15.99,15.89,15.879090909090907,15.899090909090908,16.29,13.995,13.0,14.99,13.931666666666668,12.64,13.3575,11.6125,12.695,12.186,12.186,13.188333333333333,11.91777777777778,12.235,12.235,12.29,10.726,21.667777777777776,12.386,10.753333333333336,10.756666666666668,10.756666666666668,12.385000000000002
B00006RVTS,5.71,7.132,9.94780701754386,8.486279069767443,7.0840000000000005,6.221627906976743,6.246739130434782,6.469032258064516,5.690714285714286,5.245925925925925,5.86979797979798,6.24875,6.335,5.901666666666666,6.301818181818181,6.301818181818181,4.859999999999999,5.8325,5.060740740740742,5.7566,5.668636363636363,5.750631578947368,5.396595744680851,4.790588235294118,5.68304347826087,5.953548387096775,6.0633333333333335,5.931428571428571,6.3735,5.963333333333334,6.086666666666667,5.798333333333333,5.77,5.813,5.938888888888889,5.8475,5.6775,3.2736666666666663,5.6381578947368425,6.153214285714285,5.91,5.91,5.768888888888889,5.883333333333334,4.611999999999999,4.8640740740740736,6.016428571428572,5.89,5.93,5.93,5.91,5.97,5.91,6.151333333333333,5.59,5.736666666666666,5.579090909090909,6.586,4.94,4.73,4.844
B000BUUTJ6,5.66,5.7995833333333335,7.219473684210527,6.375,5.985,5.985,5.8,5.395,5.890000000000001,5.8,5.8,5.8,5.99,5.971666666666667,5.971666666666667,3.415,4.495,5.95,6.19,6.5375000000000005,6.59,5.3500000000000005,6.443333333333334,6.192631578947368,5.631,5.4350000000000005,5.533333333333334,6.658947368421053,7.453333333333333,7.148888888888889,7.671315789473684,7.361818181818182,7.361818181818182,7.361818181818182,7.44,6.364,7.1066666666666665,6.880769230769231,6.57155172413793,6.905500000000001,6.957142857142857,6.863103448275862,6.301833333333334,7.003134328358208,6.255217391304348,6.347894736842105,6.947291666666668,6.899857142857143,6.899857142857143,6.443333333333334,6.61,6.61,5.5625,5.5625,6.65,4.890000000000001,5.4350000000000005,5.32923076923077,5.408095238095238,5.778333333333333,7.364999999999999
B000EULZDM,17.756666666666664,18.74714285714285,31.51218181818182,25.612666666666662,23.64769230769231,24.878888888888888,24.7788,23.68,23.4275,20.615,20.82333333333333,28.09595238095238,21.66,24.14833333333333,24.07333333333333,22.888,21.354285714285712,24.576666666666664,23.2375,23.02782608695652,24.5,24.941875,18.413,17.44892857142857,18.988333333333333,14.49,14.49,14.29,14.47,14.47,14.47,12.33,14.728,14.728,23.509375,21.187103448275863,21.834761904761905,18.18612359550562,14.091911111111113,12.26,12.14,12.14,11.896538461538462,11.783703703703704,12.173333333333334,11.554444444444446,12.042758620689655,11.958846153846157,12.790384615384616,21.19214285714286,24.158979591836733,20.040000000000003,20.035833333333333,20.136129032258065,19.156268656716417,22.9325,22.9325,17.98,21.195454545454545,21.04733333333333,21.63311475409836
B000FGECAI,8.633333333333333,8.476111111111111,10.7,8.368571428571428,7.493333333333333,7.890000000000001,7.890000000000001,7.890000000000001,8.459047619047618,9.2825,10.4966,9.052,9.9,9.92,9.554615384615383,9.778,8.912857142857144,9.656666666666666,10.66818181818182,11.248,10.49,10.758333333333333,11.326470588235296,11.608333333333334,12.296666666666669,11.886,10.62,11.21,11.21,11.21,11.21,11.21,10.09,10.5,10.5,13.106363636363636,12.054635761589404,11.376666666666669,12.115833333333333,11.49,11.49,7.988333333333333,8.46,8.99,8.24,9.823333333333332,9.73808510638298,9.737021276595744,9.53774647887324,9.432333333333334,9.619615384615384,9.793333333333331,9.261470588235294,9.242666666666668,9.430625,9.616666666666664,5.69,9.3,9.97,9.6845,9.010000000000002
B000GBRD3U,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.945,4.946666666666666,4.946666666666666,5.55,6.88,7.88,11.24,11.688823529411764,10.3775,12.266153846153848,12.99,7.99,9.580526315789474,9.325,9.325,8.746666666666668,8.571818181818182,8.194054054054055,8.194054054054055,8.194054054054055,6.5,6.5,6.5,6.5,6.745,6.745,6.745,6.745,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,6.035,6.035,6.035,6.035,6.035,6.035,8.685714285714285,9.12,9.12,8.535,8.44,8.44
