"Title","Categories: Sub","ASIN"
"Apple Barrel Acrylic Paint in Assorted Colors (2-Ounce), 20529 Christmas Green (Pack of 2)","Paints","B0CHMVBZ4P"
"Beadsland 1440pcs Flat Back Crystal Rhinestones Round Gems for Nail Art and Craft Glue Fix, Purple Velvet,SS16,3.8-4.0mm","Rhinestones & Sequins","B0B76ZHQJK"
"Red Heart Super Saver Real Teal Yarn - 3 Pack of 198g/7oz - Acrylic - 4 Medium (Worsted) - 364 Yards - Knitting/Crochet","Yarn","B09W1K684F"
"Scissors, iBayam 8"" All Purpose Scissors Bulk 3-Pack, Ultra Sharp 2.5mm Thick Blade Shears Comfort-Grip for Office Desk Accessories Sewing Fabric Home Craft School Supplies, Right/Left Handed","Scissors, Cutting & Measuring Devices","B08T1GMKVF"
"Coquimbo Sewing Kit for Adults, Kids, Beginner, Traveler, Portable Sewing Supplies Contains Soft Tape Measure, Scissors, Thimble, Thread, Sewing Needles (Gray, M)","Sewing Project Kits","B0CMC1HMY2"
"Valentines Day for Kids Adult, Teen Girl Boy Gifts Trendy Stuff, 72-Color Teen Art Supplies Colored Pencils Set, Valentines Day Gifts for for Drawing, Coloring, Sketching, Party Favor Bags","Pencils","B0DF2DBS4J"
"Crayola Air Dry Clay, Classic Colors, Bulk (4) Set of 2.5 lb. Resealable Buckets, Modeling Clay Alternative for Kids","Clay","B0BG3JXZC1"
"Secopad Scrapbook Tape, 6 Pack Double Sided Tape Roller for Crafts, Adhesive Glue Runner Scrapbooking Supplies Journaling School Office Supplies for Kids and Adults, 0.3IN x 26FT","Arts & Crafts Tape","B0CHV1XPP6"
"Betem 60 Colors Dual Tip Acrylic Paint Pens Markers, Premium Acrylic Paint Pens for Wood, Canvas, Stone, Rock Painting, Glass, Ceramic Surfaces, DIY Crafts Making Art Supplies","Pens & Markers","B0BR3X3J9L"
"The Woobles Beginners Crochet Kit with Easy Peasy Yarn as seen on Shark Tank - with Step-by-Step Video Tutorials - Andy The Owl","Crochet Kits","B0CB4ZJ2DR"
"Ring Sizers for Loose Rings - 8 Easy-Clip Ring Adjusters and 6 Coil Adjusters - Ring Guards for Women and Men","Jewelry Sizers & Mandrels, Find your ring size","B0D92412Z1"
"HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 8ft Maroon HTV Vinyl for Shirts, Iron on Vinyl for Cricut & Cameo - Easy to Cut & Weed for Heat Vinyl Design (Maroon)","Heat Transfer Film","B0CR448TF3"
"Melsan Self Adhesive Dots, 792pcs (396 Pairs) 0.59"" Diameter Hook and Loop Dots with Adhesive for Arts and Crafts School Classroom Home and Office Use, Strong Sticky Round Nylon Dots White","Interlocking Tape","B0CWRNXXMT"
"Vanhench 36"" x 2400"" (200') Graduation Wrapping Paper, Chocolate Brown Kraft Paper, Birthday Wrapping Paper, Solid Color Art Kraft Craft Paper for Bouquet Flower Paper, Fathers Day Wrapping Paper","Kraft Paper","B0D56D94CR"
"Y'allCanDiy Super Leather Glue 3 Pk x .7 Oz (20g) - Adhesive for Purses, Upholstery, Sofas, Furniture. Heavy Duty Waterproof Cyanoacrylate Based Glue for Leathercraft & More","Fabric Adhesives","B0DDHYN8J1"
"Klangfeiler® Hemming Tape - 3/4 INCH x 32 Yards - 60GSM Thickness - Extra Strong - Iron-On Hem Tape Adhesive","Fusible & Hem Tape","B08GKQ6BY2"
"Lion Brand Yarn 24/7 Cotton® Yarn Bundle - Camel Color Skein & Navy Color 558 Foot Skein","Yarn","B0D2VXLMVL"
"Sketch Book for Kids, 9 x12 Kids Sketchbook,100 Sheets (73lb/120gsm) Drawing Paper, Spiral Bound Sketch Pad, Art Supplies for Kids 9-12, Stocking Stuffers for Kids.","Sketchbooks & Notebooks","B0DC4NPMH9"
"Liquitex BASICS Acrylic Paint, 250ml (8.5-oz) Tube, Titanium White BASICS Acrylic Paint, 250ml (8.5-oz) Tube, Mars Black","Paints","B0D4VVFGQ3"
"Surebonder DT-100 Mini Hot Melt Glue Gun and Glue Sticks Bundle","Glue Guns","B0BLRJ45YW"
"FITTDYHE Fabric Glue Permanent, 60 ML Washable Clear Clothing Glue, Super Fabric Glue for Rhinestones, Patches, Clothes, Denim, Leather, Polyester, Fabrics, Doll Repair, Flannel, Cotton","Fabric Adhesives","B0CMD7TNS8"
"KALOUR Premium Colored Pencils,Set of 50 Colors,Artists Soft Core with Vibrant Color,Ideal for Layering Blending Shading,Color Pencils for Adults Beginners Coloring Book…","Pencils","B0BYS2D9CJ"
"FolkArt Acrylic Craft Paint, Empress Teal 2 fl oz Premium Matte Finish Paint, Perfect For Easy To Apply DIY Arts And Crafts, 51025","Paints","B0BVC15LYG"
"Soucolor 5.5"" x 8.5"" Sketch Book, 100 Sheets Spiral Bound Art Sketchbook, Acid Free (68lb/100gsm) Artist Drawing Book Paper Painting Sketching Pad","Paper & Paper Crafts, Sketchbooks & Notebooks","B0CKQJDZXY"
"Dual Brush Markers for Adult Coloring Books, 24 Colored Fine Point Marker Pen for Back to School Supplies Bullet Journaling Note Taking Drawing","Pens, Coloring Pens & Markers, Colored Pencils & Pens","B07CJN1VTM"
