"Title","Categories: Sub","ASIN"
"Hanes Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack, Pale Pink-1 Pack, 3X Large","Active Sweatshirts, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Test Color, See It On You, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Mens Plus Size Fashion, Men's See It On You, Internet Famous","B0C3WTLSXR"
"CRZ YOGA Butterluxe High Waisted Lounge Legging 25"" - Buttery Soft Workout Yoga Pants for Women Black Tie Dye Flowers Small","Leggings, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, Cozy luxe edit for her, Spend $100+, get $25 off select fashion","B07ZCR6PD1"
"Hanes Men Hanes Boxer Briefs, Cool Dri Moisture-Wicking Underwear, Cotton No-Ride-up for Men, 7 Pack - Black, Small","Boxer Briefs, Bulk Buying & Case Packs, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Hanes MUW BXGY T12, Everyday Apparel Essentials","B09NRTSNDJ"
"Gildan Men's Crew T-Shirts, Multipack, Style G1100, Black/Sport Grey/Charcoal (10-Pack)","T-Shirts, 2025 Gildan Big Spring Sale, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, Gildan Top 30 PASINs, Test Color, Gildan 2024, Most Wished For Styles, Most Gifted Styles","B0CLPHTGM6"
"ANRABESS Women Long Sleeve Crewneck Rib Knit Slim Fit Shirts Basic Tee Tops 2025 Casual T-Shirt Going Out Workout Outfits Coral Large","T-Shirts, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Test Color, Trending, Creators trends- M&W","B0DGG34H5W"
"Hanes Comfortblend EcoSmart Hoodie, Midweight Fleece, Pullover Hooded Sweatshirt for Men, Metallic Teal, X Large","Active Hoodies, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Internet Famous","B0CBVRNL2R"
"THE GYM PEOPLE Thick High Waist Yoga Pants with Pockets, Tummy Control Workout Running Yoga Leggings for Women Brown","Leggings, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, XS-3X, Top sellers Women's Test, Top sellers Women's","B0CJ4HCMSG"
"CRZ YOGA High Waisted Buttery Soft Lounge Legging 25 inches Taupe Small","Leggings, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, Cider Top 100, Everyday Apparel Essentials, Next-Gen Trends, Womens Next-Gen Trends","B09R6T9Z6P"
"Crocs Unisex Classic Clogs, Apricrush, Numeric_12 US Men","Mules & Clogs, Comfort Shoes, Test Color, Mens Next-Gen Shoes, 80dbd58c-5608-4346-a9d0-64e6b7f46827_337702, M Next-Gen Shoes, Spend $100+, get $25 off select fashion","B0BSGBGRJ4"
"ihuan Winter Waterproof Ski Gloves Men Women, Snow Warm Cycling Cold Weather, Driving Biking Running","Gloves, b21c23e8-ac46-41ab-bfed-a824ad1360c0_8501","B0BDLSWKJL"
"Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt, Regular-72 Pack White, l","Undershirts, Bulk Buying & Case Packs, See It On You, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, FOTL Top 10 PASIN, Business Pricing & Quantity Discounts, Everyday Apparel Essentials","B07XQBRBC1"
"J.VER Men's Dress Shirts Solid Long Sleeve Stretch Wrinkle-Free Formal Shirt Business Casual Button Down Shirts Vintage Green","Button-Down Shirts, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, Test Color, Most Wished For Styles, Most Gifted Styles","B0D45NSF6H"
"Carhartt Men's Knit Cuffed Beanie, Currant","Skullies & Beanies, Business Pricing & Quantity Discounts, Spend $100+, get $25 off select fashion","B09CZDSWJB"
"Amazon Essentials Women's Cotton Bikini Brief Underwear (Available in Plus Size), Pack of 10, Grey/Pink/Flowers, Small","Bikinis, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Our Brands, Fashion Plus Shop by Product, Women's Plus-Size Fashion, PTBYB x The Plus Shop, Fashion Plus Shop by Category, HG & Top Rated & Manual Plus Size (w/basics), SPB AE AA SJC, Test Color, New arrivals from our brands, Amazon Essentials, Plus Stylist Brands, Deals from Amazon brands, test node women, Women's fashion","B0BGH173JG"
"Thermajohn Holiday Christmas Long Johns Thermal Underwear for Men Fleece Lined Base Layer Set for Cold Weather (X-Large, Christmas Print)","Bottoms, Test Color","B0BGR3KTMD"
"Sunzel Flare Leggings, Crossover Yoga Pants with Tummy Control, High-Waisted and Wide Leg, 34"" Inseam, Bubble Pink XX-Large","Pants, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601","B0CY569T6G"
"Avidlove Blue Lingerie Lace Babydoll Sleepwear Sexy Printed Lingerie Dress Bridal Lingerie For Women Blue Flower L","Baby Dolls & Chemises, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Cider Top 100, Top sellers Women's Test, Top sellers Women's, Most Gifted Styles","B0CH8HTZRS"
"Arctix Kids Insulated Snow Bib Overalls, Letter Toss Print Blue, Large","Bibs, b21c23e8-ac46-41ab-bfed-a824ad1360c0_8501","B09K3SKCF8"
"wernies 8 Pairs Short Socks Black No Show Low Socks Women Thin Non Slip Invisible Loafer Ankle Low Cut Socks,5-8","No-Show Socks, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Women's GenZ Apparel Only, Top sellers Women's Test, Most Wished For Styles, Top sellers Women's, Most Gifted Styles","B0CNCMY6R3"
"SIMARI Winter Gloves Women Men Ski Snow Gloves Liner Thermal Warm Touch Screen, Suit for Running, Cycling, Biking, Hiking, Driving, Walking, Typing, Freezer Work, Sports, Soccer, Shooting, Gaming 102","Gloves, b21c23e8-ac46-41ab-bfed-a824ad1360c0_8501","B09922669H"
"HSIA Minimizer Bras for Women Full Coverage Unlined Bra with Underwire Kelly Green","Minimizers, Everyday Bras, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Most Loved Plus-Size","B0BP11XQC7"
"Hanes Mens Cotton, Moisture-wicking Crew Tee Undershirts, Multi-packs T-Shirt, Black - 7 Pack, Small US","Undershirts, Test Color, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602","B0BNP58LP7"
"Arctix Women's Essential Insulated Bib Overalls, Cracked Marble White, Medium","Bibs, b21c23e8-ac46-41ab-bfed-a824ad1360c0_8501","B0BHXM9R9T"
"Nippies Nipple Covers for Women - Added Lift Adhesive Silicone Nipple Pasties - Reusable Sticky Breast Covers - Creme, 1.5","Breast Petals, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1, Outfit Builder, Fashion-forward finds, Everyday Apparel Essentials","B09JHLG1JD"
"N'Ice Caps Kids Waterproof Winter Thinsulate Warm Gloves (Neon Purple, 3-4 Years)","Gloves","B0D9HZG6QJ"
"SINOPHANT High Waisted Leggings for Women - Full Length Capri Buttery Soft Yoga Pants for Workout Athletic(Full Green Camo,S-M)","Leggings, Women, Leggings, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_1","B0CKZ1L4XM"
"Gildan Adult Fleece Hoodie Sweatshirt, Style G18500, Multipack, White (24-Pack), X-Large","Active Sweatshirts, 6609e2df-21bc-475b-90b2-735f42ef982c_3801, Gildan Top 30 PASINs, Test Color, Gildan 2024","B0BWYGBM1H"
"CHARMKING Compression Socks for Women & Men Circulation (3 Pairs) 15-20 mmHg is Best Athletic for Running, Flight Travel, Support, Cycling, Pregnant - Boost Performance, Durability (S/M, Multi 63)","Compression Knee-High Socks, Compression Knee-High Socks, b21c23e8-ac46-41ab-bfed-a824ad1360c0_601","B0CHYL48P2"
"Crocs Kids Classic Clogs, Jade Stone, 4 US Unisex Toddler","Girls, Clogs & Mules, Boys Boots, Clogs & Mules, Test Color, Spend $100+, get $25 off select fashion","B0BMYPTY69"
"Levi Strauss Signature Gold Men's Relaxed Fit Flex Jeans (Available in Big & Tall), Sandstone, 42Wx32L","Jeans, Sig Gold Full Catalog, Mens Size Inclusive, Test Color, SGM Relaxed Fit Flex Jeans, Business Pricing & Quantity Discounts, Mens Plus Size Fashion, Internet Famous, Customers' Most-Loved: Sweaters Under $30 pASIN Test","B093J48TKC"
"Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt (Also Available in Big, Brite Orange, 3X-Large Tall","Tops, Men's Big & Tall Clothing, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Construction & Safety Uniforms, Carhartt Men’s and Women’s K87 T-shirts, Business Pricing & Quantity Discounts, Men's See It On You, Amazon Business Uniform Store, Spend $100+, get $25 off select fashion, Workwear","B09KT3XFX7"
"Hanes Comfortblend Men's Standard BeefyT T-Shirt, Heavyweight Cotton Crewneck Tee, 1 or 2 Pack, Available in Tall Sizes, Fatigue Green-1 Pack, 4X-Large","T-Shirts, 935e7a06-ca2b-4ddf-a94d-320834cbcb3b_9701, Men's Lounge Under $50, 80dbd58c-5608-4346-a9d0-64e6b7f46827_744602, Men's Lounge Under $75","B0BR8J9D9K"
