"Title","Categories: Sub","ASIN"
"20 Pack Foil Curtain Backdrop Purple Metallic Tinsel Foil Fringe Curtains Photo Booth Props for Birthday Wedding Engagement Baby Shower Bachelorette Christmas Holiday Celebration Party Decorations","Backgrounds, Streamers, 16520443011","B0DHVDBYLL"
"Apple AirTag 4 Pack","Item Finders, 8346234c-3736-4001-b2a5-9fd229148daa_8001","B0D54JZTHY"
"Elikliv Coin Microscope, 4.3'' LCD Digital Microscope 1000x, Coin Magnifier with 8 Adjustable LED Lights, PC View Compatible with Windows/Mac, EDM4B, Black","USB Microscopes, Science","B0D6B4C4KN"
"Apple AirTag","Item Finders, 8346234c-3736-4001-b2a5-9fd229148daa_8001","B0CWXNS552"
"20x50 High Powered Binoculars for Adults, Waterproof Compact Binoculars with Low Light Vision for Bird Watching Hunting Football Games Travel Stargazing Cruise with Carrying Bag","Binoculars","B0CJRTRRTG"
"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging","Earbud Headphones, ee8a22bf-7785-470e-b476-0fd86b9250ee_22602, 8346234c-3736-4001-b2a5-9fd229148daa_8001","B0D1XD1ZV3"
"Apple AirPods Pro -1st Generation with MagSafe (Renewed Premium)","Earbud Headphones, ee8a22bf-7785-470e-b476-0fd86b9250ee_22602, 8346234c-3736-4001-b2a5-9fd229148daa_8001","B0BMDYNWL5"
"Surge Protector Power Strip - 8 Outlets with 4 USB (2 USB C) Charging Ports, Multi Plug Outlet Extender, 5Ft Braided Extension Cord, Flat Plug Wall Mount Desk USB Charging Station for Home Office ETL","Power Strips, kvi_q3_24_1, LOP, Powered up, CN AB hot category","B092J8LPWR"
"Compact Binoculars for Adults and Kids, HD Mini Portable Outdoor Binoculars Children, Pocket Lightweight Folding for Bird Watching, Hunting, Concert, Theater, Opera, Traveling, Tourism, Shows","Binoculars","B0CR5S2TDM"
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)","Traditional Laptops, 8346234c-3736-4001-b2a5-9fd229148daa_2501, 8346234c-3736-4001-b2a5-9fd229148daa_8001, kvi_q3_24_2","B0947BJ67M"
"Vortex Optics Triumph HD 10x42 Binoculars - HD Optical System, Fully Multi-Coated Lenses, Rubber Armor, Tripod Adaptable, Waterproof, Fogproof, Shockproof - Unlimited, Unconditional Warranty","Binoculars, kvi_q3_24_2","B0C6N72X5Y"
"Hontry Binoculars for Adults and Kids, 10x25 Compact Binoculars for Bird Watching, Theater and Concerts, Cruise Ship and Sport Games","Binoculars","B0CZ9NP9DD"
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone","Earbud Headphones, ee8a22bf-7785-470e-b476-0fd86b9250ee_22602, 8346234c-3736-4001-b2a5-9fd229148daa_8001","B0DGHMNQ5Z"
"65W Surface Pro Laptop Charger for Microsoft Surface Pro 10, 9, 8, 7+, 7, 6, 5, 4, 3, X, Windows Surface Laptop 6, 5, 4, 3, 2, 1, Surface Go Tablet, Surface Book 3, 2, 1, Support 44W, 36W, LED, 10FT","Chargers & Adapters, kvi_q3_24_2, Most-loved PC deals","B0B4SBR4RN"
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume","Earbud Headphones, ee8a22bf-7785-470e-b476-0fd86b9250ee_22602, 8346234c-3736-4001-b2a5-9fd229148daa_8001, LOP","B0DCH8VDXF"
"2018 Apple iPad (9.7 inch, WiFi, 32GB) Silver (Renewed)","Tablets, ee8a22bf-7785-470e-b476-0fd86b9250ee_22602, 8346234c-3736-4001-b2a5-9fd229148daa_8001","B07FLP642K"
"Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C)","Power Strips, 8346234c-3736-4001-b2a5-9fd229148daa_2501, Electronics: More Sustainable Products, CN AB hot category","B08R6S1M1K"
"20x70 Binoculars for Adults High Powered - WOZEL HD Bird Binoculars with Clear Low Light Vision - Powerful Binoculars for Bird Watching Hunting Travel Outdoor Hiking","Binoculars","B0DK73L7BT"
"Roku Express 4K+ | Roku Streaming Device 4K/HDR, Roku Voice Remote, Free & Live TV","Streaming Media Players, 8346234c-3736-4001-b2a5-9fd229148daa_2501","B0916TKFF2"
"Apple 2022 MacBook Air Laptop with M2 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera; Midnight","Traditional Laptops, 8346234c-3736-4001-b2a5-9fd229148daa_8001","B0DLHCWH55"
"POLDR 12X25 Small Binoculars with Clear Vision, Pocket Binoculars Compact for Adults Theater Concert Opera Travel Bird Watching","Binoculars","B0B74G5NC3"
"NSPENCM 85W Mac Book Pro Charger, Replacement AC 85w 2T-Tip Connector Power Adapter,Laptop Charger Compatible with MacBook pro & Mac Book Pro 13 inch-15 inch Retina After Mid 2012","Chargers & Adapters","B09BVKYWJ5"
