"Title","Categories: Sub","ASIN"
"CELSIUS Sparkling Oasis Vibe, Functional Essential Energy Drink, 12 Fl Oz (Pack of 12)","Energy Drinks, SPORTS & ENERGY DRINKS, Beverages, Energy Drinks, Energy drinks","B0C7FBH4QV"
"Nespresso, Vertuo Line, Bianco Variety Pack, 30 Count Coffee Pods","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Coffee, Save on Coffee & Tea, 1, Beverages, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B0DJ1Z3XW4"
"Premier Protein Shake, Winter Mint Chocolate, 30g Protein 1g Sugar 24 Vitamins Minerals Nutrients to Support Immune Health, 11.50 fl oz (Pack of 12)","Protein Drinks, Beverages, Protein drinks","B0CZ4KLN8Q"
"Sparkling Ice, Berry Lemonade Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)","Carbonated Water, Sparkling water, Sparkling Water, Soda and cocktail mixers, Beverages, Sparkling water, Sparkling water, Drinks, Sparkling Water, Baverages, Beverages, Beverages, Water, Sparkling Water, Beverages, CSD and Water, BBQ Beverages, All Sparkling Water, Springtime Beverages, Beverages for Summer, Sparkling  Water","B0B192RX4X"
"Monster Energy Ultra Paradise, Sugar Free Energy Drink, 16 Ounce (Pack of 12)","Energy Drinks, Bulk beverages, Buy in bulk, Stock up with bulk items, Beverages, Energy Drinks, Energy drinks","B08M9VZCWN"
"Starbucks K-Cup Coffee Pods, Medium Roast Coffee, Half-Caff House Blend For Keurig Brewers, 100% Arabica, 6 Boxes (60 Pods Total)","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, 1, Beverages, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B0BVG9FZ85"
"Nespresso Capsules Vertuo, Double Espresso Dolce, 30-Count Espresso Pods, Brews 2.7 oz.","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Coffee, Save on Coffee & Tea, 1, Beverages, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B0DJ1ZGDC5"
"Nespresso Capsules Vertuo, Roasted Hazelnut, Medium Roast Coffee, 30 Count Coffee Pods, Brews 7.8oz.","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, Gluten-Free Groceries, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, 1, Beverages, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B0BZJSVXJZ"
"Liquid Death, Rootbeer Wrath, Root Beer-Flavored Sparkling Water, 12-Pack (12oz Cans), Low Calorie & No Artificial Sweeteners","Carbonated Water, Sparkling water, Sparkling Water, Soda and cocktail mixers, Beverages, Sparkling water, Sparkling water, Beverages, Drinks, Sparkling Water, Baverages, Beverages, Beverages, Water, Sparkling Water, Beverages, CSD and Water, BBQ Beverages, All Sparkling Water, Springtime Beverages, Beverages for Summer, Sparkling  Water","B0DPXTMSHN"
"PUR Gum | Aspartame Free Chewing Gum | 100% Xylitol | Natural Spearmint Flavored Gum, 55 Pieces (Pack of 12)","Chewing & Bubble Gum, Candy & Chocolate, Chewing Gum Sample Credit, Plant-Based Lifestyles, Canned, Packaged & Baking, All Candy Coupons, Movie Night Coupons, Non-chocolate candy","B0BZ8JTJXQ"
