"Title","Categories: Sub","ASIN"
"Bounty Quick-Size Paper Towels, White, 12 Family Triple Rolls = 36 Regular Rolls","Paper Towels, Paper Towels/Cleaning Supplies, Kitchen & Dining Features, Paper Essentials","B0CQMK6TPF"
"Amazon Basics 36-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life","AA, AA Batteries","B094D541XW"
"Scott ComfortPlus Toilet Paper, 36 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue","Paper & Plastic, Toilet Paper, Paper Essentials","B0DJWKTVSW"
"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 28 Count (Pack of 1). Re-closable pack for quick, easy access and organized storage. Triple A Battery with Long-lasting Power","AAA, Household Spring Cleaning BxGy 2/23-3/14","B0B2KWHKYT"
"LMNT Zero Sugar Electrolytes - Raw Unflavored Salt | Drink Mix | 30-Count","Electrolyte Replacements, Natural & Organic, dealswidgets, Sports Nutrition Sample Box Credit, Healthcare","B085LR9BM2"
"Amazon Basics 2-Ply Toilet Paper 6 Rolls = 24 Regular Rolls, 350 Sheets, (1 Pack of 6), Unscented","Toilet Paper, Paper Essentials","B0CGWF2BRF"
"Hefty Ultra Strong 13 Gallon Trash Bags, Tall Kitchen Trash Bags 13 Gallon Size, Break Resistant Drawstring Closure, Continuous Odor Control, White, Fabuloso Scent, 110 Bags","Trash Bags, Home & Kitchen Features","B098KLQRBT"
"SniffElixir Eucalyptus Inhaler for Adults - 1 Pack Eucalyptus Nasal Inhaler with Essential Oils, Natural Aromatherapy Nasal Stick Inhaler for Breathing, Portable Nasal Inhalers for Aromatherapy Stick","Wellness & Relaxation, Products, Categories, Beauty & Grooming","B0DJDFC2CH"
"Amazon Basics Sandwich Storage Bags, 300 Count (Previously Solimo)","Food Storage Bags, Most-loved health & household deals, Customers' Most-Loved: Health, wellness, and more, Our Brands: Household","B095PQ6SX7"
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 30 Family Mega Rolls = 153 Regular Rolls","Toilet Paper, Charmin, Paper Essentials","B09YLN9GX7"
"Amazon Basics Disinfecting Wipes, Lemon & Fresh Scent, Sanitizes/Cleans/Disinfects/Deodorizes, 340 Count (4 Packs of 85)","Disinfectant Wipes, Paper Towels/Cleaning Supplies, Wipes, Under $6 cleaning supplies, All Purpose & Disinfectant Wipes","B08R17N9VV"
"DUDE Wipes - Flushable Wipes - 3 Pack, 144 Wipes - Herbal Relief Extra-Large Wet Wipes - With Hazel & Geranium Essential Oils - Septic and Sewer Safe Butt Wipes For Adults","Personal Cleansing Wipes, Wipes, Paper Products","B0D71XD987"
"Amazon Basics Scented Trash Bags, Tall Kitchen Drawstring, Clean Fresh Scent, 13 Gallon, 200 Count, Pack of 1","Trash Bags, Home & Kitchen Features","B09CD6QTPH"
"Boka Fluoride Free Toothpaste Nano Hydroxyapatite, Helps Remineralize, Appropriate for Sensitive Teeth, Whitening - for Adult, Kids Oral Care - Ela Mint Flavor, 4 Fl Oz 3Pk - US Manufactured","Toothpaste, Oral Care","B0BYFJS7DV"
"Physician's CHOICE Probiotics 60 Billion CFU - 10 Strains + Organic Prebiotics - Immune, Digestive & Gut Health - Supports Occasional Constipation, Diarrhea, Gas & Bloating - for Women & Men - 84ct","Acidophilus, Supplements Deals, Digestive Support Supplements, Gut Health Supplements","B0BRYCXRPG"
"Sparkle Pick-A-Size Paper Towels, Spirited Prints, 6 Double Rolls = 12 Regular Rolls, Everyday Value Paper Towel With Full And Half Sheets","Paper Towels, Paper Towels/Cleaning Supplies, Deals on paper products, Kitchen & Dining Features, Paper Essentials, SpringCleaning2023","B09NW83XJ2"
"URO Vaginal Probiotics for Women pH Balance with Prebiotics & Lactobacillus Blend - Womens Health Supplement - Promote Healthy Vaginal Odor & Vaginal Flora, 60 Count (Pack of 3)","Women's Health, Healthcare","B0D5G3HBGL"
"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 2 Basics Rolls = 5 Regular Rolls, Everyday Value with 150 Sheets per Roll","Paper Towels, Paper Towels/Cleaning Supplies, Kitchen & Dining Features, Home & Kitchen Features, Paper Essentials","B0CGW6XZGT"
"Liquid I.V.® Hydration Multiplier - Popsicle Firecracker | Electrolyte Powder Drink Mix | 1 Pack (16 Servings)","Electrolyte Replacements, dealswidgets, Sports Nutrition Sample Box Credit, Healthcare","B0CHN5D13P"
"Amazon Basics Everyday Paper Plates, 8.62 Inch, Disposable, 100 Count","Plates, All Event ASINs, Paper and Plastics for hosting, Home & Kitchen Features, plates/bowls","B0C2CY22B8"
"Optimum Nutrition New Flavor Gold Standard 100% Whey Protein Powder, Cinnamon Roll, 2 Pound (Pack of 1) (Packaging May Vary)","Blends, dealswidgets, Sports Nutrition Sample Box Credit, Healthcare, Protein Sample Credit","B0CTD7ZJBX"
"Clorox Disinfecting Wipes Value Pack, 3x 75ct Crisp Lemon and Fresh Scent Canister and 3x 75ct Easy Pull Moisture Seal Pack","Disinfectant Wipes, Paper Towels/Cleaning Supplies, Wipes, Under $6 cleaning supplies, All Purpose & Disinfectant Wipes","B09NWTMB1B"
"Nutricost Creatine Monohydrate Powder (Watermelon, 500 Gram) - Micronized Creatine Supplement - Vegan, Non-GMO, Gluten Free","Creatine, dealswidgets, Supplements Deals, Sports Nutrition Sample Box Credit","B0CDJ2XTQB"
"Miss Mouth's Messy Eater Stain Treater - 16oz Refill - Newborn & Baby Essentials - No Dry Cleaning Food, Grease, Coffee Off Laundry, Underwear, Fabric","Stain Removers, Laundry","B0BMF11RVJ"
"Quest Nutrition Fruit Flavored Variety Pack Protein Bars, High Protein, Low Carb, Gluten Free, Keto Friendly, 12 Count","Protein, Protein Bars, dealswidgets, Protein Bar Sample Box Credit, Sports Nutrition Sample Box Credit, Healthcare, Nutrition Bars Sample Credit, Snacks & produce IA, Game day snacks & dips, Snacks, Snacks Under 5$, 15% off coupon terms and conditions, Snacks, Lunchbox snacks, Snacks, Snacks, Game Day Snacks, Snacks under $5, New to Fresh Snacks, Shop & Save Terms & Conditions","B0DT36KPWQ"
"Amazon Basics Gallon Food Storage Bags, 120 Count","Food Storage Bags, Customers' Most-Loved: Health, wellness, and more","B093WMWKBP"
"Amazon Basics Reclosable Freezer Quart Bags, Stand & Fill Base, 120 Count","Food Storage Bags, Most-loved health & household deals, Customers' Most-Loved: Health, wellness, and more, Our Brands: Household","B093WNNDLD"
"Bounty Select-A-Size Paper Towels, White, 8 Triple Rolls = 24 Regular Rolls","Paper Towels, Paper Towels/Cleaning Supplies, Kitchen & Dining Features, Paper Essentials","B0CV4FQPY1"
"Crest 3D White Advanced Luminous Mint Teeth Whitening Toothpaste, Crest Toothpaste, 3.7 oz Pack of 4 - Helps Remove Surface Stains, Whitens Teeth, Strengthens Tooth Enamel, Protects Against Cavities","Toothpaste, Oral Care, Summer Beauty, Shop Personal Care","B09F8FZ18G"
"Vital Proteins Collagen Peptides Powder, Promotes Hair, Nail, Skin, Bone and Joint Health - Bonus Size, Zero Sugar, Unflavored 11.4 OZ","Collagen, Supplements Deals, Gut Health Supplements","B0CMJPTH54"
"MAJESTIC PURE Cedarwood Essential Oil | 100% Pure and Natural Cedarwood Oil | Premium Grade Essential Oils for Hair Care, Home Diffusers, Skin, Aromatherapy, Massage and Humidifiers | 1 Fl Oz","Essential Oil Singles, Aromatherapy, Healthcare, Aromatherapy products","B09S1ZZ9CZ"
"Amazon Basics 8-Pack C Cell Alkaline All-Purpose Batteries, 1.5 Volt, 5-Year Shelf Life","C, C Batteries","B094D5LVSB"
"Vital Proteins Collagen Peptides Advanced, Hydrolyzed Peptides with Hyaluronic Acid and Vitamin C - Strawberry Lemon Flavor Powder, 10.5oz","Collagen, Supplements Deals, Gut Health Supplements","B0D19P1Q9M"
"Cottonelle XL Flushable Wet Wipes, Adult Wipes Large, 8 Flip-Top Packs, 45 Wipes Per Pack (360 Total Wipes), Packaging May Vary","Personal Cleansing Wipes, Household Spring Cleaning BxGy 2/23-3/14, Wipes, Paper Products","B0BYPFQQKP"
"Amazon Brand - Presto! 313 2-Ply Sheet Mega Roll Toilet Paper, Unscented, Ultra-Soft, 12 Rolls (2 Packs of 6), Equivalent to 60 Regular Rolls, White","Toilet Paper, Paper Essentials","B0947DYSQJ"
"NatureWise Vitamin D3 5000iu (125 mcg) 30-Day Supply for Immune Support, Healthy Muscle Function, and Bone Health - Non-GMO, Gluten Free in Organic Extra Virgin Olive Oil, (Mini Softgel), 30 Count","Vitamin D, Supplements Deals, Spring Allergies, Immune Support, Heart Health Supplements","B093N7JJYL"
"Charmin Toilet Paper Ultra Strong Clean Touch, 30 Family Mega Rolls = 150 Regular Rolls (Packaging May Vary), Bulk Toilet Paper, Household Essentials","Toilet Paper, Charmin, Paper Essentials","B09YLCVLSQ"
"Cottonelle Ultra Clean Toilet Paper with Active CleaningRipples Texture, Strong Bath Tissue, 32 Family Mega Rolls (32 Family Mega Rolls = 176 Regular Rolls) (8 Packs of 4), 353 Sheets per Roll","Toilet Paper, Household Spring Cleaning BxGy 2/23-3/14, Paper Essentials","B0CM4NVYDR"
"Quilted Northern Ultra Plush Toilet Paper, 18 Mega Rolls = 72 Regular Rolls, 3X Thicker*, 3 Ply Soft Toilet Tissue","Toilet Paper, Paper Essentials","B0BTDRQLD3"
"simplehuman Code K Custom Fit Drawstring Trash Bags, 240 Count, 35-45 Liter / 9-12 Gallon, White","Trash Bags","B09T61584M"
"Optimum Nutrition Micronized Creatine Monohydrate Powder, Blueberry Lemonade Creatine, 60 Servings, 360 Grams (Packaging May Vary)","Creatine, dealswidgets, Amino Acids Sample Credit, Supplements Deals, Sports Nutrition Sample Box Credit","B0DGH2BWRD"
"Barebells Soft Protein Bars Minty Chocolate - 12 Count (Pack of 2), 1.9oz Bars - Protein Snacks with 16g of High Protein - Chocolate Protein Bar with 2g of Total Sugars - Soft Protein Snack & Breakfast Bars.","Protein, Protein Bars, dealswidgets, Protein Bar Sample Box Credit, Sports Nutrition Sample Box Credit, Healthcare, Snacks & produce IA, Game day snacks & dips, Snacks, Snacks Under 5$, 15% off coupon terms and conditions, Snacks, Lunchbox snacks, Snacks, Snacks, Game Day Snacks, Snacks under $5, New to Fresh Snacks, Shop & Save Terms & Conditions","B0D27GYKGQ"
"Angel Soft Toilet Paper, 4 Mega Rolls = 16 Regular Rolls, Soft and Strong Toilet Tissue","Toilet Paper, Paper Essentials","B09NW7ZP8H"
"Physician's Choice Probiotics for Women - PH Balance, Digestive, UT, & Feminine Health - 50 Billion CFU - 6 Unique Strains for Women - Organic Prebiotics, Cranberry Extract+ - Womens Probiotic - 84 CT","Cranberry, Supplements Deals, Urinary Tract Health, Other Herbal Supplements","B0D4WFWD1C"
"MaryRuth Organics Liquid Multivitamin + Lustriva® Hair Growth for Women| Biotin 10000mcg | Vitamin B & D | Clinically Tested for Thicker Hair, Wrinkles, Fine Lines, Skin Care | Ages 18+ | 30 Fl Oz","Multivitamins, Back to routine supplements, Supplements Deals, Customers' Most-Loved: Health, wellness, and more, Liquid drops","B0CGKVHHCY"
"Cottonelle Ultra Comfort Toilet Paper with Cushiony CleaningRipples Texture, 32 Family Mega Rolls (32 Family Mega Rolls = 144 Regular Rolls) (8 Packs of 4), 296 Sheets per Roll","Toilet Paper, Household Spring Cleaning BxGy 2/23-3/14, Paper Essentials","B0CM4NY91V"
"Charmin Ultra Soft Toilet Paper 6 Mega Rolls = 24 Regular Rolls","Toilet Paper, Charmin, Paper Essentials","B0CDZJ9JJC"
"LUMIFY Redness Reliever Preservative Free Eye Drops, 20 Single Use Vials, Fast Acting, Only PF Drop for Whiter & Brighter Looking Eyes, Relieves Red Eyes, Works in 1 Min, Lasts Up to 8 Hours","Dry Eye Relief, Vision, Healthcare","B0DGY454PZ"
"Amazon Basics Heavy Duty Sponges, 6 Count","Sponges, Home & Kitchen Features, Cleaning Tools","B08RFCCBR1"
"Goli Nutrition Ashwagandha Gummies, Mixed Berries, 30 Gummies (Pack of 1)","Ashwagandha, Supplements Deals, Other Herbal Supplements","B0CVK9ZGWJ"
"Scott Paper Towels, Choose-A-Sheet, 30 Double Rolls (2 Packs of 15) = 60 Regular Rolls (100 Sheets Per Roll)","Paper Towels, Paper Towels/Cleaning Supplies, Kitchen & Dining Features, Paper Essentials","B0CT67D4JH"
"TheraBreath Fresh Breath Mouthwash, Icy Mint Flavor, Alcohol-Free, 16 Fl Oz (2-Pack) + TheraBreath Kids Mouthwash with Fluoride, Organic Grapes Galore, Anticavity, Dentist Formulated, 16 Fl Oz","Mouthwash, Oral Care","B0CH96R9TP"
"Ultima Replenisher Daily Electrolyte Powder Drink Mix – Grape, 20 Stickpacks – Hydration Packets with 6 Key Electrolytes and Trace Minerals – Keto Friendly, Vegan, Non-GMO and Sugar-Free","Electrolyte Replacements, Natural & Organic, dealswidgets, Sports Nutrition Sample Box Credit, Healthcare","B091FYLX82"
"Earth Breeze - Laundry Detergent Sheets, Liquidless Technology - Fresh Scent (120 Loads) - Same Clean, No Mess - No Plastic Jug (Pack of 2) 60 Sheets","Laundry Detergent, Laundry","B098JJJ6SX"
"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Gluten-free, Cookies and Cream, 1.76oz, 12 Pack","Protein Bars, dealswidgets, Protein Bar Sample Box Credit, Healthcare, Snacks & produce IA, Game day snacks & dips, Snacks, Snacks Under 5$, 15% off coupon terms and conditions, Snacks, Lunchbox snacks, Snacks, Snacks, Game Day Snacks, Snacks under $5, New to Fresh Snacks, Shop & Save Terms & Conditions","B0CGFVZMJ2"
"Cascade Platinum ActionPacs Dishwasher Detergent with Dawn, Fresh Scent - 93 Count","Dishwasher Detergent","B09ZDDXKV3"
"Amazon Basics Adult Wet Wipes Flushable Fragrance Free, 126 Count (3 Packs of 42) Packaging May Vary","Personal Cleansing Wipes, Wipes, Household Care, Paper Products","B095KCG1Q2"
"WEEM Hair Skin and Nails Gummies - Supports Healthy Hair - Vegan biotin Vitamins for Women & Men Supports Faster Hair Growth, Stronger Nails, Healthy Skin, Extra Strength (2)","B7 (Biotin), Supplements Deals, Biotin, Energy & Mood Supplements, Heart Health Supplements","B09FP7RZ7R"
"Depend Fresh Protection Adult Incontinence & Postpartum Bladder Leak Underwear for Women, Disposable, Maximum, Large, Blush, 72 Count (2 Packs of 36), Packaging May Vary","Protective Briefs & Underwear, Incontinence Sample Credit","B09556SRJH"
"Brawny Tear-A-Square Paper Towels, 12 Double Rolls = 24 Regular Rolls, 3 Sheet Sizes (Quarter, Half, Full), Strength for All Messes, Cleanups, and Meal Prep","Paper Towels, Paper Towels/Cleaning Supplies, Kitchen & Dining Features, Paper Essentials","B0CTKQHDT3"
"Glad ForceFlex Tall Kitchen Trash Bags, 13 Gal, Pine-Sol Original, 110 Ct (Package May Vary)","Trash Bags","B0D6CWK6F9"
"NatureWise Curcumin Turmeric 2250mg - 95% Curcuminoids & BioPerine Black Pepper Extract for Advanced Absorption - Daily Joint and Immune Health Support - Vegan, Non-GMO, 360 Count[120-Day Supply]","Curcumin, Supplements Deals, Other Herbal Supplements","B0D4LP318M"
"Amazon Basics Flextra Tall Kitchen Drawstring Trash Bags, 13 Gallon, 120 Count","Trash Bags, Home & Kitchen Features","B092VPGJB9"
"Tylenol Extra Strength Acetaminophen Rapid Release Gels, Extra Strength Pain Reliever & Fever Reducer, Gelcaps with Laser-Drilled Holes, 500 mg Acetaminophen, 50 ct","Acetaminophen, Pain Relief, Healthcare, Medications & Treatments Sample Credit","B08WDTXL6K"
"Boiron Oscillococcinum for Relief from Flu-Like Symptoms of Body Aches & ColdCalm Tablets for Relief of Common Cold Symptoms Such as Sneezing","Cold & Flu Relief, Cold & Flu, Healthcare, The Cold & Flu Store","B0CSCLLLFH"
"Dawn Ultra Dishwashing Liquid Soap","Dish Soap","B0B5YQG9HP"
"Duracell Coppertop AA + AAA Batteries, 56 Count (Pack of 1). Re-closable pack for easy access and organized storage.1 pack contains 28 Double A Batteries and 28 Triple A Batteries.","AA, Household Spring Cleaning BxGy 2/23-3/14, AA Batteries","B0B2KWJ252"
"Dawn Platinum Dishwashing Liquid Dish Soap, Refreshing Rain Scent, 14.6 fl oz","Dish Soap, Spend $100 or more, get $25 off select Sports & Outdoors","B0BZK1FB57"
"Scott 1000 Trusted Clean Toilet Paper, 32 Rolls, Septic-Safe, 1-Ply Toilet Tissue","Toilet Paper, Household Spring Cleaning BxGy 2/23-3/14, Paper Essentials","B093CKHPKK"
"Sports Research Vitamin D3 K2 with Coconut Oil | Plant Based Vitamin K2 MK7 + Vegan D3 5000iu for Bone & Immune Health | Vegan Certified, Soy & Gluten Free - 30 Count Softgels","Vitamin D, Supplements Deals, Spring Allergies, Immune Support, Heart Health Supplements","B08YD4JRXV"
"Liquid I.V.® Hydration Multiplier Sugar-Free - Rainbow Sherbet | Electrolyte Powder Drink Mix | 1 Pack (14 Servings)","Electrolyte Replacements, dealswidgets, Sports Nutrition Sample Box Credit, Healthcare","B0CHN72MYS"
"Puffs Plus Lotion Facial Tissues, 8 Family Boxes, 124 Facial Tissues per Box, Allergies and Colds","Box Tissues, Paper Products","B09YKRZR22"
"SmartyPants Kids Multivitamin + Fiber & Veggie Bundle: Omega 3 Fish Oil, Prebiotic Fiber, Gluten-Free, Three Fruit & Mixed Berry Flavors, Multi & Omegas (120 Count) + Fiber & Veggies (60 Count)","Children's Vitamins, Back to routine supplements, Supplements Deals","B0CZ7GHQJ8"
"BiOptimizers Magnesium Breakthrough Supplement 4.0 - Has 7 Forms of Magnesium: Glycinate, Malate, Citrate, and More - Natural Sleep and Brain Supplement - 60 Capsules","Magnesium, Sleep Support Supplements, Supplements Deals, Most-loved health & household deals, Energy & Mood Supplements, Heart Health Supplements","B08WPLW4VN"
"Sports Research Triple Strength Omega 3 Fish Oil - Burpless Fish Oil Supplement w/EPA & DHA Fatty Acids from Wild Alaskan Pollock - Heart, Brain & Immune Support for Men & Women - 1250 mg, 240 ct","Combinations, Supplements Deals, Heart Health Supplements","B0BJ7NN9L5"
"Washing Machine Cleaner Descaler 48 Pack - Value Size Deep Cleaning Tablets HE Front Loader & Top Load Washer, Septic Safe Eco-Friendly Deodorizer, Clean Inside Laundry Drum Tub Seal - 48 Count","Washing Machine Cleaners, Health & Household: More Sustainable Products, Laundry","B0BDP6GN3W"
"Downy Unstopables Laundry Scent Booster Beads for Washer, Fresh Scent, 4.3 Ounces (4 PACKS)","Fabric Deodorizer, Laundry","B0B2Q2CR1H"
"Amazon Brand - Presto! Ultra-Soft 3-Ply Premium Facial Tissues, 264 Count (4 Packs of 66), (Packaging May Vary)","Box Tissues, Paper Products","B0846PGGMM"
"Bounce Dryer Sheets, Outdoor Fresh, 480 Count Laundry Fabric Softener Sheets with Static Control and Wrinkle Fighters. (2 Packs of 240)","Dryer Sheets, Featured Categories, Sales & Deals, Laundry","B0D14Y9SFZ"
"Premier Protein Protein Powder, 30g Protein, 1g Sugar, No Soy Ingredients, Gluten Free, Vanilla Milkshake, 29 Servings, 40.2oz","Whey, dealswidgets, Sports Nutrition Sample Box Credit, Healthcare","B0D4X2RXP8"
"Ear Wax Removal - Earwax Remover Tool with 7 Pcs Ear Set - Ear Cleaner with Camera - Earwax Removal Kit with Light - Ear Camera with 6 Ear Spoon - Ear Cleaner for iOS & Android","Earwax Removal, Personal Care","B0DK99RVSF"
"Windex Refill Original Blue Glass and Window Cleaner Bottles + 1 Reusable Spray Trigger, Surface Cleaning Spray, Original Blue Scent, 32 Fl Oz (Pack of 3)","Glass Cleaners, Paper Towels/Cleaning Supplies, Surface & Glass Cleaners","B09HV7XV99"
"Dawn Platinum Powerwash Dish Spray, Dish Soap Cleaning Spray, Apple Scent Refill, Dish Soap Liquid, 16 Fl Oz (Pack of 6)","Dish Soap","B09P4P4PFJ"
"Amazon Basics 12-Pack 9V Alkaline Batteries, 5-Year Shelf Life - For Smoke/CO Detector, Electronics & Audio","9V, 9V Batteries, Household Spring Cleaning BxGy 2/23-3/14","B0B4RSNDPG"
"Gain + Aroma Boost Liquid Laundry Detergent, Original Scent, 78 Loads, 113 fl oz, HE Compatible","Liquid Detergent, Laundry Detergent, Laundry","B09XPDQSWZ"
"Tide PODS Laundry Detergent Pacs, Spring Meadow Scent, 112 Count, Concentrated Laundry Soap Detergent, Stain Remover and Color Protector, Tide PODS Laundry Detergent","Detergent Pacs & Tablets, Laundry Detergent, Fresh | Health & Household Coupons, Fresh | HPC Coupons, Fresh | Household Coupons, Laundry","B0BJMV9BXJ"
"Lysol All-Purpose Cleaner, Sanitizing and Disinfecting Spray, To Clean and Deodorize, Lemon Breeze Scent, 32oz","All-Purpose Cleaners, All Event ASINs, Paper Towels/Cleaning Supplies, Home & Kitchen Features, Cold and Flu, Cleaning, The Cold & Flu Essentials, Back to school, Under $6 cleaning supplies, Household supplies for savy hosts, All Purpose & Disinfectant Wipes, Home cleaning, Household Care","B00QIT9NDW"
"CURAD Medium 2-Ply Sterile Alcohol Prep Pads, Essential for First Aid Kits, 100/Box, Pack of 30","Cleansing Cloths, Swabs & Wipes, Healthcare, All First Aid","B00BLQSNQA"
"RENPHO Smart Scale for Body Weight, FSA HSA Eligible, Digital Bathroom Scale BMI Weighing Bluetooth Body Fat Scale, Body Composition Monitor Health Analyzer with Smartphone App (Marble, 11""/280mm)","Digital, Body Composition Monitors, Fitbit Alta, Alta HR, and Ace","B09VPL2LJ2"
"Amazon Basics Flextra Tall Kitchen Drawstring Trash Bags, Fresh Scent, 13 Gallon, 120 Count","Trash Bags, Home & Kitchen Features","B092VQMW7T"
"LUMIFY Redness Reliever Eye Drops, For Whiter & Brighter Looking Eyes, 0.08 Fl Oz (2.5 mL)","Dry Eye Relief, Vision, Customers' Most-Loved Health & Household, Healthcare, Eye Care","B07CDN39DP"
"Live Conscious Collagen Peptides Powder Unflavored Packets - Hydrolyzed Collagen Powder - Hair, Skin, Nail, & Joint Support - Type I & III Grass-Fed Collagen Supplements for Women and Men - Pack of 20","Collagen, Supplements Deals, Gut Health Supplements","B0BGYX1WK5"
"Dr. Berg D3 K2 Vitamin 5000 IU w/MCT Powder - Includes 50 mcg MK7 Vitamin K2, Purified Bile Salts, Zinc & Magnesium for Ultimate Absorption - K2 D3 Vitamin Supplement - 60 Capsules","Vitamin D, Supplements Deals, Spring Allergies, Immune Support, Heart Health Supplements","B0B4BG1WDM"
"Zinc 50mg 400 Count","Zinc, Supplements Deals, Immune Support, Gut Health Supplements, Zinc","B09WZMR7YB"
"CASCADE Platinum Plus Dishwasher Detergent Pacs, Mountain Scent, 11 Count (Pack of 2)","Dishwasher Detergent","B0C8LCPZN7"
"Dixie Large Paper Plates, 10 Inch, 204 Count, 2X Stronger*, Microwave-Safe, Soak-Proof, Cut Resistant, Disposable Plates For Everyday Breakfast, Lunch, & Dinner Meals","Plates, Paper and Plastics for hosting, plates/bowls","B09RSC2JT3"
"BEAUTURAL Fabric Shaver and Lint Remover, Rechargeable Sweater Defuzzer with 2 Speeds, 1 Replaceable 6-Leaf Blade, Remove Fuzz, Lint Balls, Pills, Bobbles for Clothes and Furniture","Lint Removers, Laundry","B0CMWHZNJP"
"Moringa Powder Capsules - Pure Nutrient-Rich Moringa Powder - A Natural Green Antioxidant Superfood - Supports Energy, Skin Health, Gut Health+ - w/Essential Vitamins & Amino Acids A1 - Pack of 4","Blended Vitamin & Mineral Supplements, Supplements Deals","B0DQWHGB8G"
"Dymatize ISO100 Hydrolyzed Protein Powder, 100% Whey Isolate, Cinnamon Cereal, 20 Servings, Gluten-Free","Whey, dealswidgets, Sports Nutrition Sample Box Credit, Healthcare, Protein Sample Credit","B0D4VWVJ6C"
"Tide Liquid Laundry Detergent, Original, 107 loads, 154 fl oz, HE Compatible","Liquid Detergent, Laundry Detergent, Laundry","B09NF89CVJ"
"Arm & Hammer Plus OxiClean Odor Blasters Fresh Burst, 128 Loads Liquid Laundry Detergent, 166.5 Fl oz","Liquid Detergent, Laundry Detergent, Laundry","B0BSNXFDML"
"Plackers Micro Line Dental Floss Picks, Fold-Out FlipPick, Tuffloss, Easy Storage & Micro Mint Dental Floss Picks with Travel Case, 12 Count (Color may vary)","Floss Picks, Oral Care","B0CW2X7K87"
"Kleenex Ultra Soft Facial Tissues, 8 Cube Boxes, 80 Tissues per Box, 3-Ply, Packaging May Vary","Box Tissues, Paper Products","B0CTD36YKK"
"Amazon Basics Hydrogen Peroxide Topical Solution USP, 32 Fl Oz, Pack of 1","Ointments, FSA or HSA Eligible Private Brands, Healthcare, All First Aid","B09HHDW53K"
"Dreamegg Travel White Noise Machine - Portable Sound Machine for Baby Adults, Travel Sound Machine for Sleep, 16 Nature Sound, Timer, White Noise Machine for Sleeping Gift, Navy","Sleep Sound Machines, Healthcare","B0DD6RQNTL"
